trial,service,fault_type,expected_root_cause,llm_root_cause,llm_correct,llm_confidence,rule_root_cause,rule_correct,fix_applied,result,mttr_seconds,manual_baseline,time_saved
1,auth,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,3.13,900,896.87
1,cart,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.67,900,897.33
1,payment,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.47,900,897.53
1,inventory,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.75,900,897.25
1,notification,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.8,900,897.2
1,auth,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.79,900,897.21
1,cart,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.87,900,897.13
1,payment,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.78,900,897.22
1,inventory,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.74,900,897.26
1,notification,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.79,900,897.21
1,auth,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,3.03,900,896.97
1,cart,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,3.05,900,896.95
1,payment,slow,cpu_overload,cpu_overload,True,95,cpu_overload,True,reduce_load,RECOVERED,3.01,900,896.99
1,inventory,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,3.07,900,896.93
1,notification,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.98,900,897.02
1,auth,error,error_spike,error_spike,True,90,error_spike,True,reduce_load,RECOVERED,3.29,900,896.71
1,cart,error,error_spike,error_spike,True,90,error_spike,True,restart,RECOVERED,3.0,900,897.0
1,payment,error,error_spike,error_spike,True,90,error_spike,True,reduce_load,RECOVERED,3.03,900,896.97
1,inventory,error,error_spike,error_spike,True,90,error_spike,True,reduce_load,RECOVERED,2.63,900,897.37
1,notification,error,error_spike,error_spike,True,90,error_spike,True,reduce_load,RECOVERED,2.85,900,897.15
2,auth,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.69,900,897.31
2,cart,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.9,900,897.1
2,payment,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.98,900,897.02
2,inventory,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.71,900,897.29
