service,fault_type,expected_root_cause,trials,llm_accuracy,rule_accuracy,recovery_rate,mean_mttr_seconds,stdev_mttr_seconds
auth,crash,service_crash,3,1.0,1.0,1.0,2.78,0.32
cart,crash,service_crash,3,1.0,1.0,1.0,2.78,0.06
payment,crash,service_crash,3,1.0,1.0,1.0,2.92,0.26
inventory,crash,service_crash,3,1.0,1.0,1.0,2.7,0.19
notification,crash,service_crash,3,1.0,1.0,1.0,2.84,0.29
auth,memory,memory_leak,3,1.0,1.0,1.0,2.72,0.12
cart,memory,memory_leak,3,1.0,1.0,1.0,2.75,0.05
payment,memory,memory_leak,3,1.0,1.0,1.0,2.87,0.13
inventory,memory,memory_leak,3,1.0,1.0,1.0,2.87,0.09
notification,memory,memory_leak,3,1.0,1.0,1.0,2.7,0.12
auth,slow,cpu_overload,3,1.0,1.0,1.0,3.09,0.15
cart,slow,cpu_overload,3,0.667,1.0,1.0,3.29,0.53
payment,slow,cpu_overload,3,1.0,1.0,1.0,2.97,0.13
inventory,slow,cpu_overload,3,1.0,1.0,1.0,3.02,0.07
notification,slow,cpu_overload,3,1.0,1.0,1.0,3.01,0.2
auth,error,error_spike,3,1.0,1.0,1.0,2.76,0.05
cart,error,error_spike,3,1.0,1.0,1.0,2.9,0.18
payment,error,error_spike,3,1.0,1.0,1.0,2.79,0.12
inventory,error,error_spike,3,1.0,1.0,1.0,2.82,0.12
notification,error,error_spike,3,1.0,1.0,1.0,2.91,0.04
