trial,service,fault_type,expected_root_cause,llm_root_cause,llm_correct,llm_confidence,rule_root_cause,rule_correct,fix_applied,result,mttr_seconds,manual_baseline,time_saved
1,auth,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,3.07,900,896.93
1,cart,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.8,900,897.2
1,payment,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,3.18,900,896.82
1,inventory,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.87,900,897.13
1,notification,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.82,900,897.18
1,auth,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.77,900,897.23
1,cart,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.7,900,897.3
1,payment,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.75,900,897.25
1,inventory,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.82,900,897.18
1,notification,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.78,900,897.22
1,auth,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,3.26,900,896.74
1,cart,slow,cpu_overload,unknown,False,0,cpu_overload,True,restart,RECOVERED,3.09,900,896.91
1,payment,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.83,900,897.17
1,inventory,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,3.07,900,896.93
1,notification,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,3.05,900,896.95
1,auth,error,error_spike,error_spike,True,90,error_spike,True,restart,RECOVERED,2.72,900,897.28
1,cart,error,error_spike,error_spike,True,90,error_spike,True,reduce_load,RECOVERED,2.85,900,897.15
1,payment,error,error_spike,error_spike,True,90,error_spike,True,reduce_load,RECOVERED,2.69,900,897.31
1,inventory,error,error_spike,error_spike,True,90,error_spike,True,reduce_load,RECOVERED,2.68,900,897.32
1,notification,error,error_spike,error_spike,True,90,error_spike,True,restart,RECOVERED,2.88,900,897.12
2,auth,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.44,900,897.56
2,cart,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.83,900,897.17
2,payment,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.93,900,897.07
2,inventory,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.49,900,897.51
2,notification,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,3.14,900,896.86
2,auth,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.81,900,897.19
2,cart,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.79,900,897.21
2,payment,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,3.01,900,896.99
2,inventory,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.82,900,897.18
2,notification,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.56,900,897.44
2,auth,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,3.02,900,896.98
2,cart,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.89,900,897.11
2,payment,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,3.07,900,896.93
2,inventory,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,3.05,900,896.95
2,notification,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.79,900,897.21
2,auth,error,error_spike,error_spike,True,90,error_spike,True,restart,RECOVERED,2.76,900,897.24
2,cart,error,error_spike,error_spike,True,90,error_spike,True,restart,RECOVERED,2.74,900,897.26
2,payment,error,error_spike,error_spike,True,90,error_spike,True,retry_with_backoff,RECOVERED,2.75,900,897.25
2,inventory,error,error_spike,error_spike,True,90,error_spike,True,reduce_load,RECOVERED,2.88,900,897.12
2,notification,error,error_spike,error_spike,True,90,error_spike,True,retry_with_backoff,RECOVERED,2.95,900,897.05
3,auth,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.82,900,897.18
3,cart,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.72,900,897.28
3,payment,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.66,900,897.34
3,inventory,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.73,900,897.27
3,notification,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.57,900,897.43
3,auth,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.58,900,897.42
3,cart,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.76,900,897.24
3,payment,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.86,900,897.14
3,inventory,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.98,900,897.02
3,notification,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.77,900,897.23
3,auth,slow,cpu_overload,cpu_overload,True,95,cpu_overload,True,reduce_load,RECOVERED,2.99,900,897.01
3,cart,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,3.89,900,896.11
3,payment,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,3.02,900,896.98
3,inventory,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.94,900,897.06
3,notification,slow,cpu_overload,cpu_overload,True,95,cpu_overload,True,reduce_load,RECOVERED,3.18,900,896.82
3,auth,error,error_spike,error_spike,True,90,error_spike,True,restart,RECOVERED,2.81,900,897.19
3,cart,error,error_spike,error_spike,True,90,error_spike,True,retry_with_backoff,RECOVERED,3.1,900,896.9
3,payment,error,error_spike,error_spike,True,90,error_spike,True,retry_with_backoff,RECOVERED,2.93,900,897.07
3,inventory,error,error_spike,error_spike,True,90,error_spike,True,reduce_load,RECOVERED,2.9,900,897.1
3,notification,error,error_spike,error_spike,True,90,error_spike,True,retry_with_backoff,RECOVERED,2.9,900,897.1
