trial,service,fault_type,expected_root_cause,llm_root_cause,llm_correct,llm_confidence,rule_root_cause,rule_correct,fix_applied,result,mttr_seconds,manual_baseline,time_saved
1,auth,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.95,900,897.05
1,cart,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.9,900,897.1
1,payment,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,3.07,900,896.93
1,inventory,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,4.52,900,895.48
1,notification,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.67,900,897.33
1,auth,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,3.83,900,896.17
1,cart,memory,memory_leak,memory_leak,True,92,memory_leak,True,clear_memory,RECOVERED,3.02,900,896.98
1,payment,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,3.65,900,896.35
1,inventory,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.86,900,897.14
1,notification,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,3.91,900,896.09
1,auth,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,3.21,900,896.79
1,cart,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,4.73,900,895.27
1,payment,slow,cpu_overload,cpu_overload,True,95,cpu_overload,True,reduce_load,RECOVERED,3.07,900,896.93
1,inventory,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,4.06,900,895.94
1,notification,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,4.04,900,895.96
1,auth,error,error_spike,error_spike,True,90,error_spike,True,restart,RECOVERED,4.0,900,896.0
1,cart,error,error_spike,error_spike,True,90,error_spike,True,reduce_load,RECOVERED,3.92,900,896.08
1,payment,error,error_spike,error_spike,True,92,error_spike,True,retry_with_backoff,RECOVERED,3.15,900,896.85
1,inventory,error,error_spike,error_spike,True,90,error_spike,True,retry_with_backoff,RECOVERED,5.38,900,894.62
1,notification,error,error_spike,error_spike,True,90,error_spike,True,restart,RECOVERED,2.91,900,897.09
2,auth,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,3.0,900,897.0
2,cart,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,3.67,900,896.33
2,payment,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.72,900,897.28
2,inventory,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,2.87,900,897.13
2,notification,crash,service_crash,service_crash,True,95,service_crash,True,restart,RECOVERED,3.81,900,896.19
2,auth,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,3.83,900,896.17
2,cart,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,3.78,900,896.22
2,payment,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.78,900,897.22
2,inventory,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.74,900,897.26
2,notification,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.99,900,897.01
2,auth,slow,cpu_overload,cpu_overload,True,95,cpu_overload,True,reduce_load,RECOVERED,4.06,900,895.94
2,cart,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.98,900,897.02
2,payment,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,4.07,900,895.93
2,inventory,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,4.09,900,895.91
2,notification,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,4.07,900,895.93
